community,property_category,type,bedrooms,bathrooms,bua_reference_sqft,plot_reference_sqft,area_reference_sqft,bayut_community_url,bayut_floorplan_url,source,source_note,,pf_plot,pf_bua,pf_plot_a,pf_bua_upgraded
Azalea,villa,Type 1,3,4,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/azalea/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,4743,3052,,
Azalea,villa,Type 2,4,4,3225,4675,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/azalea/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA/plot retained from local reference,,4040,3224,,
Azalea,villa,Type 3,4,5,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/azalea/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,4359,3143,4334,3342
Azalea,villa,Type 4,5,5,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/azalea/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,,,,
Camelia,townhouse,Type 1M,3,4,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/camelia/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,,1507,,
Camelia,townhouse,Type 2M,3,4,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/camelia/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,,1969,,
Camelia,townhouse,Type 1E,4,4,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/camelia/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,,,,
Casa,villa,Type 1,3,4,3143,4359,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/casa/,https://www.bayut.com/floorplans/details-925.html,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA/plot retained from local reference,,4360,3252,,
Casa,villa,Type 2,3,4,3143,4359,4360,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/casa/,https://www.bayut.com/floorplans/details-926.html,Bayut floorplans + local reference,Type/bed/bath from Bayut; Area example from Bayut detail page; BUA/plot retained from local reference,,4359,3159,,
Casa,villa,Type 3,4,5,3538,4650,4359,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/casa/,https://www.bayut.com/floorplans/details-927.html,Bayut floorplans + local reference,Type/bed/bath from Bayut; Area example from Bayut detail page; BUA/plot retained from local reference,,4359,3196,,
