community,type,property_category,bedrooms,bathrooms,bua_ref_sqft,bua_min_sqft,bua_max_sqft,plot_ref_sqft,plot_min_sqft,plot_max_sqft
Azalea,Type 1,villa,3,4,3052.0,2808.0,3296.0,4743.0,2960.0,5454.0
Azalea,Type 2,villa,4,4,3225.0,2967.0,3483.0,4675.0,3919.0,5376.0
Azalea,Type 3,villa,4,5,3143.0,2892.0,3463.0,4359.0,3705.0,6775.0
Azalea,Type 4,villa,5,5,,,,,,
Camelia,Type 1E,townhouse,4,4,2698.0,1995.0,3460.0,3295.0,3130.0,3460.0
Camelia,Type 1M,townhouse,3,4,1507.0,1386.0,2122.0,1783.0,1431.0,2163.0
Camelia,Type 2M,townhouse,3,4,1969.0,1811.0,2127.0,,,
Casa,Type 1,villa,3,4,3143.0,2892.0,3394.0,4359.0,3705.0,5013.0
Casa,Type 2,villa,3,4,3143.0,2892.0,3394.0,4359.0,3049.0,5013.0
Casa,Type 3,villa,4,5,3538.0,3100.0,3821.0,4650.0,3952.0,5348.0
Casa,Type 4,villa,4,5,4359.0,4010.0,4708.0,6544.0,5562.0,7526.0
Casa,Type 5,villa,4,5,3609.0,3320.0,3898.0,,,
Casa,Type 6,villa,4,6,3383.0,3214.0,3552.0,5672.0,4141.0,7333.0
Lila,Type 1,villa,3,4,3163.0,2910.0,3416.0,4898.0,4163.0,5633.0
Lila,Type 2,villa,4,4,3234.0,2975.0,3493.0,4359.0,3705.0,5013.0
Lila,Type 3,townhouse,4,5,,,,4650.0,4418.0,4882.0
Lila,Type 3,villa,4,5,,,,4359.0,3705.0,5013.0
Lila,Type 4,villa,5,5,,,,4650.0,3686.0,5348.0
Lila,Type 5,villa,5,6,3875.0,3681.0,4069.0,5496.0,4418.0,6658.0
Palma,Type 2,villa,3,4,3170.0,2916.0,3424.0,3764.0,3010.0,4577.0
Palma,Type 4,villa,4,5,3488.0,3209.0,3767.0,4650.0,3952.0,5348.0
Palma,Type 5,villa,4,5,3583.0,3296.0,3870.0,4650.0,3530.0,5348.0
Palma,Type 6,villa,5,6,4359.0,3383.0,4708.0,5180.0,3314.0,7217.0
Rasha,Type 1,villa,4,5,4309.0,3964.0,4654.0,6544.0,4180.0,7526.0
Rasha,Type 2,villa,4,5,4354.0,4006.0,4702.0,6888.0,5855.0,7921.0
Rasha,Type 3,villa,4,6,4814.0,4429.0,5199.0,7833.0,6658.0,9008.0
Rasha,Type 4,villa,5,7,5368.0,4939.0,5797.0,7625.0,6481.0,8769.0
Rasha,Type 5,villa,6,8,6006.0,5526.0,6486.0,8556.0,7273.0,9839.0
Reem,Type 1E,townhouse,4,4,2650.0,2518.0,2782.0,3115.0,2518.0,3759.0
Reem,Type 1M,townhouse,3,4,1946.0,1849.0,2043.0,1946.0,1849.0,2043.0
Reem,Type 2M,townhouse,3,4,,,,,,
Rosa,Type 1,villa,4,5,4309.0,3964.0,4654.0,6544.0,4180.0,7526.0
Rosa,Type 2,villa,4,5,4354.0,4006.0,4702.0,6888.0,4232.0,7921.0
Rosa,Type 3,villa,4,6,4814.0,4429.0,5199.0,7776.0,6610.0,8942.0
Rosa,Type 4,villa,5,7,5468.0,5031.0,5905.0,,,
Rosa,Type 5,villa,6,8,6006.0,5526.0,6486.0,8190.0,5820.0,9418.0
Samara,Type 1,villa,3,4,3868.0,3559.0,4177.0,,,
Samara,Type 2,villa,4,4,4038.0,3128.0,4361.0,4810.0,3885.0,5808.0
Samara,Type 3,villa,5,6,4777.0,3799.0,5159.0,4777.0,3851.0,5494.0
Samara,Type 4,villa,5,5,4806.0,3912.0,5190.0,4800.0,3836.0,5841.0
Yasmin,Type 1,villa,4,5,4309.0,3964.0,4654.0,6544.0,6217.0,6871.0
Yasmin,Type 2,villa,4,5,4354.0,4006.0,8612.0,8361.0,7943.0,8779.0
Yasmin,Type 3,villa,4,6,4857.0,4468.0,5246.0,,,
Yasmin,Type 4,villa,5,7,5457.0,5020.0,5894.0,9480.0,7087.0,12075.0
Yasmin,Type 5,villa,6,8,6006.0,5526.0,6486.0,,,
