Location,Community,Area,Property Type,Bedrooms,Size sqft,Rental AED,Rental Yield %,Price per sqft,Status,Start Date,End Date,Duration Months,Purchase Price AED
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,4613,241500,8.33,,Renewed,"13 May, 2026","12 May,",202712,2900000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1959,190000,10.0,,Renewed,"12 May, 2026","11 May,",202712,1900000
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,5521,329600,6.98,,Renewed,"11 May, 2026","10 May,",202712,4700000
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,6819,376750,8.12,,Renewed,"11 May, 2026","10 May,",202712,4600000
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,5538,93000,2.42,,Renewed,"10 May, 2026","9 Aug,",20263,3800000
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4519,300000,8.29,,Renewed,"10 May, 2026","9 May,",202712,3600000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1507,167500,8.54,,New,"8 May, 2026","7 May,",202712,2000000
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,5336,1080000,23.27,,New,"5 May, 2026","4 May,",202936,4600000
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,3589,280000,10.36,,Renewed,"1 May, 2026","30 Apr,",202712,2700000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1959,175000,4.67,,New,"1 May, 2026","30 Apr,",202712,3800000
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,4360,255000,7.78,,New,"1 May, 2026","30 Apr,",202712,3300000
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4349,330000,8.72,,Renewed,"1 May, 2026","30 Apr,",202712,3800000
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4019,300000,7.98,,Renewed,"1 May, 2026","30 Apr,",202712,3800000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1720,150000,9.73,,New,"1 May, 2026","30 Apr,",202712,1500000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1507,145000,9.97,,New,"1 May, 2026","30 Apr,",202712,1500000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1720,150000,9.73,,New,"1 May, 2026","30 Apr,",202712,1500000
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,7888,480000,8.73,,New,"1 May, 2026","30 Apr,",202712,5500000
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,5439,280000,6.8,,Renewed,"1 May, 2026","30 Apr,",202712,4099999
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4650,268620,6.35,,Renewed,"1 May, 2026","30 Apr,",202712,4200000
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,5192,330000,15.68,,New,"1 May, 2026","30 Apr,",202712,2100000
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,2965,210000,7.51,,Renewed,"1 May, 2026","30 Apr,",202712,2800000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1507,180000,9.86,,Renewed,"30 Apr, 2026","29 Apr,",202712,1800000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1692,180000,8.57,,Renewed,"28 Apr, 2026","27 Apr,",202712,2100000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1507,180000,10.29,,New,"28 Apr, 2026","27 Apr,",202712,1800000
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,4650,320000,7.21,,New,"27 Apr, 2026","26 Apr,",202712,4400000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1588,200000,13.5,,New,"27 Apr, 2026","27 Apr,",202825,1500000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,2568,57137,3.36,,Renewed,"26 Apr, 2026","31 Jul,",20264,1700000
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,4628,360000,5.76,,New,"25 Apr, 2026","24 Apr,",202712,6300000
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,5644,310000,7.67,,Renewed,"24 Apr, 2026","23 Apr,",202712,4000000
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,710,70205098,,9 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,1038,1416976136,,5 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,278,24213887,,1 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,5574,273000,7.51,,New,"20 Apr, 2026","19 Apr,",202712,3600000
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1957,163721,7.15,,Renewed,"20 Apr, 2026","19 Apr,",202712,2300000
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,5165,314580,6.8,,Renewed,"18 Apr, 2026","17 Apr,",202712,4600000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1959,195000,12.94,,Renewed,"17 Apr, 2026","16 Apr,",202712,1500000
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,6889,370000,7.86,,New,"15 Apr, 2026","14 Apr,",202712,4700000
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,4284,212295,5.61,,Renewed,"15 Apr, 2026","14 Apr,",202712,3800000
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4333,300000,8.22,,Renewed,"15 Apr, 2026","14 Apr,",202712,3600000
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1942,220000,10.39,,New,"15 Apr, 2026","14 May,",202713,2100000
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,6,8129,550000,8.08,,New,"15 Apr, 2026","14 Apr,",202712,6800000
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,4624,390000,12.19,,New,"14 Apr, 2026","13 Apr,",202712,3200000
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4650,350000,9.72,,New,"11 Apr, 2026","10 Apr,",202712,3600000
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,7831,400000,6.11,,Renewed,"10 Apr, 2026","9 Apr,",202712,6500000
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1951,225000,9.68,,Renewed,"10 Apr, 2026","9 Apr,",202712,2300000
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,7564,420000,9.88,,New,"9 Apr, 2026","8 Apr,",202712,4300000
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,4650,335000,8.26,,New,"6 Apr, 2026","5 Apr,",202712,4099999
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,4359,250000,7.16,,Renewed,"5 Apr, 2026","4 Apr,",202712,3500000
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1507,147000,10.08,,Renewed,"4 Apr, 2026","3 Apr,",202712,1500000
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,6,7922,530000,7.8,,Renewed,"3 Apr, 2026","2 Apr,",202712,6800000
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,4359,270000,7.34,,Renewed,"2 Apr, 2026","1 Apr,",202712,3700000
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5,4624,390000,12.19,,New,"1 Apr, 2026","31 Mar,",202712,3200000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1959,185000,12.28,,Renewed,"1 Apr, 2026","31 Mar,",202712,1500000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,3282,230000,12.71,,New,"1 Apr, 2026","31 Mar,",202712,1800000
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,4,6889,420000,8.5,,Renewed,"1 Apr, 2026","31 Mar,",202712,4900000
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1942,200000,9.74,,Renewed,"29 Mar, 2026","28 Mar,",202712,2100000
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3,1507,77175,3.76,,Renewed,"27 Mar, 2026","26 Sep,",20266,2100000
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,6,8863,900000,11.76,,New,"25 Mar, 2026","24 Mar,",202712,7700000
