Location,Community,Area,Property Type,Bedrooms,Size sqft,Rental AED,Rental Yield %,Price per sqft,Status,Start Date,End Date,Duration Months,Purchase Price AED,predicted_type,prediction_confidence,prediction_reason
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4613,241500,8.33,,Renewed,"13 May, 2026","12 May,",202712,2900000.0,Possible Type 1,26,bedrooms match; BUA 4613 well above range — heavily extended or wrong type (max 3416)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1959,190000,10.0,,Renewed,"12 May, 2026","11 May,",202712,1900000.0,Likely Type 1M,50,bedrooms match; BUA 1959 within standard range 1386–2122
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,5521,329600,6.98,,Renewed,"11 May, 2026","10 May,",202712,4700000.0,Possible Type 5,26,bedrooms match; BUA 5521 well above range — heavily extended or wrong type (max 4069)
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,6819,376750,8.12,,Renewed,"11 May, 2026","10 May,",202712,4600000.0,Likely Type 2,50,bedrooms match; BUA 6819 within standard range 4006–8612
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5538,93000,2.42,,Renewed,"10 May, 2026","9 Aug,",20263,3800000.0,Possible Type 2,26,bedrooms match; BUA 5538 well above range — heavily extended or wrong type (max 3493)
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4519,300000,8.29,,Renewed,"10 May, 2026","9 May,",202712,3600000.0,Likely Type 4,50,bedrooms match; BUA 4519 within standard range 4010–4708
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,167500,8.54,,New,"8 May, 2026","7 May,",202712,2000000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,5336,1080000,23.27,,New,"5 May, 2026","4 May,",202936,4600000.0,Possible Type 3,42,bedrooms match; BUA 5336 slightly above range — possible extension (max 5159)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,3589,280000,10.36,,Renewed,"1 May, 2026","30 Apr,",202712,2700000.0,Possible Type 1E,34,bedrooms match; BUA 3589 above range — likely extended (max 2782)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1959,175000,4.67,,New,"1 May, 2026","30 Apr,",202712,3800000.0,Likely Type 1M,50,bedrooms match; BUA 1959 within standard range 1386–2122
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4360,255000,7.78,,New,"1 May, 2026","30 Apr,",202712,3300000.0,Possible Type 1,34,bedrooms match; BUA 4360 above range — likely extended (max 3394)
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4349,330000,8.72,,Renewed,"1 May, 2026","30 Apr,",202712,3800000.0,Possible Type 2,34,bedrooms match; BUA 4349 above range — likely extended (max 3483)
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4019,300000,7.98,,Renewed,"1 May, 2026","30 Apr,",202712,3800000.0,Possible Type 2,34,bedrooms match; BUA 4019 above range — likely extended (max 3483)
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1720,150000,9.73,,New,"1 May, 2026","30 Apr,",202712,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1720 within standard range 1386–2122
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,145000,9.97,,New,"1 May, 2026","30 Apr,",202712,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1720,150000,9.73,,New,"1 May, 2026","30 Apr,",202712,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1720 within standard range 1386–2122
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,7888,480000,8.73,,New,"1 May, 2026","30 Apr,",202712,5500000.0,Possible Type 1,26,bedrooms match; BUA 7888 well above range — heavily extended or wrong type (max 4654)
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5439,280000,6.8,,Renewed,"1 May, 2026","30 Apr,",202712,4099999.0,Possible Type 4,26,bedrooms match; BUA 5439 well above range — heavily extended or wrong type (max 3767)
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4650,268620,6.35,,Renewed,"1 May, 2026","30 Apr,",202712,4200000.0,Possible Type 4,34,bedrooms match; BUA 4650 above range — likely extended (max 3767)
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5192,330000,15.68,,New,"1 May, 2026","30 Apr,",202712,2100000.0,Possible Type 4,26,bedrooms match; BUA 5192 well above range — heavily extended or wrong type (max 3767)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,2965,210000,7.51,,Renewed,"1 May, 2026","30 Apr,",202712,2800000.0,Possible Type 1E,42,bedrooms match; BUA 2965 slightly above range — possible extension (max 2782)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,180000,9.86,,Renewed,"30 Apr, 2026","29 Apr,",202712,1800000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1692,180000,8.57,,Renewed,"28 Apr, 2026","27 Apr,",202712,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1692 within standard range 1386–2122
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,180000,10.29,,New,"28 Apr, 2026","27 Apr,",202712,1800000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,4650,320000,7.21,,New,"27 Apr, 2026","26 Apr,",202712,4400000.0,Possible Type 5,34,bedrooms match; BUA 4650 above range — likely extended (max 4069)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1588,200000,13.5,,New,"27 Apr, 2026","27 Apr,",202825,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1588 within standard range 1386–2122
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,2568,57137,3.36,,Renewed,"26 Apr, 2026","31 Jul,",20264,1700000.0,Likely Type 1E,50,bedrooms match; BUA 2568 within standard range 1995–3460
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,4628,360000,5.76,,New,"25 Apr, 2026","24 Apr,",202712,6300000.0,Likely Type 3,50,bedrooms match; BUA 4628 within standard range 3799–5159
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5644,310000,7.67,,Renewed,"24 Apr, 2026","23 Apr,",202712,4000000.0,Possible Type 4,34,bedrooms match; BUA 5644 above range — likely extended (max 4708)
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,710,70205098,,9 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,,Unknown,0,BUA 710 well below reference range 3559–4177
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,1038,1416976136,,5 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,,Unknown,0,BUA 1038 well below reference range 3559–4177
