community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent
Casa,Arabian Ranches 2,Ready,Villa,4000000,,860,4650,,12 May 2026,Individual (2 Times),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,4950000,83,1742,2841,4,29 Apr 2026,Individual (1 Time),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,10100000,115,1466,6889,4,20 Apr 2026,Individual (1 Time),1400,5915000,124,6
Palma,Arabian Ranches 2,Ready,Villa,6200000,38,1422,4359,3,17 Apr 2026,Individual (2 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,3750000,143,1914,1959,3,17 Apr 2026,Individual (2 Times),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,7565000,104,1308,5784,4,31 Mar 2026,Individual (3 Times),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,3950000,32,2027,1949,3,26 Mar 2026,Individual (3 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,4000000,92,1630,2454,4,13 Mar 2026,Individual (2 Times),1400,5915000,124,6
Palma,Arabian Ranches 2,Ready,Villa,6900000,67,1300,5308,4,12 Mar 2026,Individual (1 Time),1400,5915000,124,6
Yasmin,Arabian Ranches 2,Ready,Villa,16500000,194,1826,9037,5,11 Mar 2026,Individual (1 Time),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,6400000,56,1327,4824,4,05 Mar 2026,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,6950000,85,1495,4650,4,04 Mar 2026,Individual (1 Time),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,11200000,18,1309,8556,6,26 Feb 2026,Individual (2 Times),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,7700000,63,1407,5473,5,24 Feb 2026,Individual (1 Time),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,6015000,162,1380,4359,3,24 Feb 2026,Individual (2 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,4200000,128,1606,2616,4,20 Feb 2026,Individual (2 Times),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,5700000,56,1313,4341,4,19 Feb 2026,Individual (1 Time),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,6400000,64,1428,4481,4,12 Feb 2026,Individual (2 Times),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,4999999,47,1293,3866,3,10 Feb 2026,Individual (2 Times),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,13800000,81,1147,12027,6,09 Feb 2026,Individual (1 Time),1400,5915000,124,6
Yasmin,Arabian Ranches 2,Ready,Villa,12500000,63,1910,6544,4,03 Feb 2026,Individual (2 Times),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,6350000,49,1366,4650,4,30 Jan 2026,Individual (1 Time),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,9900000,148,1116,8867,4,29 Jan 2026,Individual (2 Times),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,7200000,55,1548,4650,5,20 Jan 2026,Individual (2 Times),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,6450000,63,1202,5368,4,16 Jan 2026,Individual (1 Time),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,6650000,72,1476,4505,4,15 Jan 2026,Individual (1 Time),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,7166898,58,1541,4650,5,07 Jan 2026,Individual (1 Time),1400,5915000,124,6
