community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent,predicted_type,prediction_confidence,prediction_reason
Casa,Arabian Ranches 2,Ready,Villa,4000000,,860,4650,,12 May 2026,Individual (2 Times),1400,5915000,124,6,Possible Type 4,30,BUA 4650 within standard range 4010–4708
Reem,Arabian Ranches 2,Ready,Villa,4950000,83.0,1742,2841,4.0,29 Apr 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 1E,42,bedrooms match; BUA 2841 slightly above range — possible extension (max 2782)
Rasha,Arabian Ranches 2,Ready,Villa,10100000,115.0,1466,6889,4.0,20 Apr 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 6889 well above range — heavily extended or wrong type (max 4654)
Palma,Arabian Ranches 2,Ready,Villa,6200000,38.0,1422,4359,3.0,17 Apr 2026,Individual (2 Times),1400,5915000,124,6,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3424)
Camelia,Arabian Ranches 2,Ready,Villa,3750000,143.0,1914,1959,3.0,17 Apr 2026,Individual (2 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1959 within standard range 1386–2122
Casa,Arabian Ranches 2,Ready,Villa,7565000,104.0,1308,5784,4.0,31 Mar 2026,Individual (3 Times),1400,5915000,124,6,Possible Type 4,34,bedrooms match; BUA 5784 above range — likely extended (max 4708)
Reem,Arabian Ranches 2,Ready,Villa,3950000,32.0,2027,1949,3.0,26 Mar 2026,Individual (3 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1949 within standard range 1849–2043
Camelia,Arabian Ranches 2,Ready,Villa,4000000,92.0,1630,2454,4.0,13 Mar 2026,Individual (2 Times),1400,5915000,124,6,Likely Type 1E,50,bedrooms match; BUA 2454 within standard range 1995–3460
Palma,Arabian Ranches 2,Ready,Villa,6900000,67.0,1300,5308,4.0,12 Mar 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 4,26,bedrooms match; BUA 5308 well above range — heavily extended or wrong type (max 3767)
Yasmin,Arabian Ranches 2,Ready,Villa,16500000,194.0,1826,9037,5.0,11 Mar 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 4,26,bedrooms match; BUA 9037 well above range — heavily extended or wrong type (max 5894)
Azalea,Arabian Ranches 2,Ready,Villa,6400000,56.0,1327,4824,4.0,05 Mar 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 2,26,bedrooms match; BUA 4824 well above range — heavily extended or wrong type (max 3483)
Casa,Arabian Ranches 2,Ready,Villa,6950000,85.0,1495,4650,4.0,04 Mar 2026,Individual (1 Time),1400,5915000,124,6,Likely Type 4,50,bedrooms match; BUA 4650 within standard range 4010–4708
Rasha,Arabian Ranches 2,Ready,Villa,11200000,18.0,1309,8556,6.0,26 Feb 2026,Individual (2 Times),1400,5915000,124,6,Possible Type 5,26,bedrooms match; BUA 8556 well above range — heavily extended or wrong type (max 6486)
Lila,Arabian Ranches 2,Ready,Villa,7700000,63.0,1407,5473,5.0,24 Feb 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 5,26,bedrooms match; BUA 5473 well above range — heavily extended or wrong type (max 4069)
Lila,Arabian Ranches 2,Ready,Villa,6015000,162.0,1380,4359,3.0,24 Feb 2026,Individual (2 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3416)
